n_iter,metodo,test,count,mean,std,min,25%,50%,75%,max
0,GS,test_15_segundos,10.0,0.3437737834777931,0.00015138101817407614,0.343579151312421,0.3436617857777887,0.3437332203906545,0.34388752273297,0.344014209662676
0,GS,test_30_segundos,10.0,0.2960134236045036,8.58761200723415e-05,0.295827440645221,0.29599054463859575,0.29601185818025355,0.29606608914517674,0.29614802807129
0,GS,test_aleatorio,10.0,0.23276175345613895,0.04595853925020619,0.165098120536738,0.2007372249704542,0.2211283412322479,0.27142506078991724,0.2959133197476989
0,GS,test_aleatorio_desordenado,10.0,0.2443544978052695,0.04710513409956847,0.1822871002767459,0.20769987515248817,0.24587709939718638,0.280539836231031,0.309581342228887
0,GS,test_completo,10.0,0.14583344545852348,0.027904746602992032,0.103564510442673,0.13332350141539273,0.147872325999201,0.1615703055753815,0.199245357990099
0,GS,test_sin_links,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,GS,test_trivial,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,J,test_15_segundos,10.0,0.36805430388801386,0.0004216464399794198,0.367406148850649,0.3678804800089635,0.368012893110772,0.3683042102266627,0.3687784890105999
0,J,test_30_segundos,10.0,0.3078291126349404,0.0001464543608021123,0.307613689457947,0.30770764883651425,0.30786839942324995,0.30793664761009665,0.308035635000274
0,J,test_aleatorio,10.0,0.25558297908890204,0.04787603772295411,0.183440425201787,0.23818254932833477,0.2520249505900825,0.2789797843004635,0.330869308574978
0,J,test_aleatorio_desordenado,10.0,0.2827478255485626,0.08097421189414432,0.161961765793714,0.22918708569807125,0.2701202335703225,0.3179684371320097,0.440948218437583
0,J,test_completo,10.0,0.04084565673032635,0.00938230923816359,0.0240793682345559,0.03486524615823725,0.0421205605799639,0.046204919208914674,0.055373709421649
0,J,test_sin_links,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,J,test_trivial,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GS,test_15_segundos,10.0,0.1674299517720765,3.233644406217686e-05,0.167395103529911,0.167403481113726,0.167424322266958,0.1674479987390495,0.167499707387569
1,GS,test_30_segundos,10.0,0.127471507634608,2.1321281679309843e-05,0.127443735634162,0.12745498419520723,0.12747036501122994,0.127484793704338,0.127505279974026
1,GS,test_aleatorio,10.0,0.04719185609439311,0.007712443964413954,0.0317213356367789,0.043806731340145726,0.0472422915757849,0.053068735151478405,0.0571335491151369
1,GS,test_aleatorio_desordenado,10.0,0.045943527261838354,0.005727509450254062,0.036107781482773,0.0428525560291835,0.04572109159910839,0.0505624576989274,0.054321236549556
1,GS,test_completo,10.0,0.037521290086073626,0.004593672016366738,0.0303933347790809,0.0339310549946455,0.0376359549377694,0.0404260435886944,0.0441284704267699
1,GS,test_sin_links,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GS,test_trivial,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,J,test_15_segundos,10.0,0.21697488595419118,9.959813673818248e-05,0.21679402321375,0.21690779499741625,0.21700059189697052,0.21705301152744244,0.217082710047457
1,J,test_30_segundos,10.0,0.1681576608383906,3.9261485313477355e-05,0.168117380579368,0.16812626867647343,0.168144178727461,0.16818831780542348,0.1682324092189669
1,J,test_aleatorio,10.0,0.08297983839145599,0.012487574502706246,0.054130009628597,0.08030667199201075,0.0866712790568445,0.090597628948222,0.097313693954274
1,J,test_aleatorio_desordenado,10.0,0.07936923405889118,0.012329537748982468,0.057143918167111,0.071664100593159,0.078179984714596,0.089112856216945,0.094896267604191
1,J,test_completo,10.0,0.00329725221927184,0.0010227887586182645,0.0013102401617469,0.002840082995977725,0.00339306666411695,0.004101964433334425,0.0044743465117639
1,J,test_sin_links,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,J,test_trivial,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GS,test_15_segundos,10.0,0.09813352096430697,1.3243852940378203e-05,0.0981060668469459,0.09812612049627226,0.0981367406741329,0.098143712058838,0.098147281550719
2,GS,test_30_segundos,10.0,0.06513195387457471,6.882229097224255e-06,0.065123250159911,0.06512762260447025,0.0651302424009275,0.0651387193509485,0.065141546497034
2,GS,test_aleatorio,10.0,0.011022565951091532,0.0019000757043332915,0.007970752978789,0.0094136956016624,0.0113835944889849,0.012641293862157225,0.0131451118503579
2,GS,test_aleatorio_desordenado,10.0,0.01136958185148972,0.0017195394228779193,0.0088141831391669,0.010088944593830924,0.011167564507906451,0.01240634616045665,0.0144406544198209
2,GS,test_completo,10.0,0.008943362412523831,0.00149869589858143,0.0069183482393909,0.0078318443687164,0.008810132273398899,0.009953544622074425,0.0116875360129439
2,GS,test_sin_links,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GS,test_trivial,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,J,test_15_segundos,10.0,0.1446228506662296,2.3304480284307275e-05,0.14458177686516,0.14460543581066876,0.144633803105219,0.1446372045783165,0.144648355682553
2,J,test_30_segundos,10.0,0.10423576002404747,1.5111029425059794e-05,0.1042115911050449,0.104230163154126,0.1042345946085195,0.1042404401182769,0.104259283673211
2,J,test_aleatorio,10.0,0.0313829848461593,0.00414847983739629,0.024288177938891,0.028153481292512248,0.0322823171424825,0.03480909093171775,0.0362988248661659
2,J,test_aleatorio_desordenado,10.0,0.0301321185007651,0.004431437857125848,0.023121330134342,0.02778014899473575,0.028451217367499,0.03181381098465775,0.037223329340123
2,J,test_completo,10.0,0.00037944613898218993,0.0001062088217856896,0.000149479526679,0.00036004183248875,0.00042508424283900005,0.000440269126635,0.000467070685905
2,J,test_sin_links,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,J,test_trivial,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GS,test_15_segundos,10.0,0.06451232090919759,8.669965794650191e-06,0.064502106167607,0.064507060492037,0.06451122002602995,0.0645150887302445,0.064530864378861
3,GS,test_30_segundos,10.0,0.03683222867859311,3.6986824164945245e-06,0.036826220633628,0.03683009121096525,0.036832281291474,0.0368339566671795,0.036839563376189
3,GS,test_aleatorio,10.0,0.00287015283085857,0.0003380062862963099,0.002161029557502,0.002687158886373725,0.00288278667740095,0.003089976392528725,0.003317971463984
3,GS,test_aleatorio_desordenado,10.0,0.00281217972340965,0.0003751043773784013,0.002370006173182,0.002506371713450725,0.00275153619841545,0.003048866797222975,0.003370824770609
3,GS,test_completo,10.0,0.0026056449930482303,0.0003086415715664136,0.0022250108523019,0.00229066075346215,0.0026962789036359,0.0028392736649964752,0.002975939845342
3,GS,test_sin_links,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
