familia,rep,tam,dens,metodo,tiempo
aleatorio,6,3000,1500,J,522
aleatorio,7,3000,1500,J,540
aleatorio,8,3000,1500,J,519
aleatorio,9,3000,1500,J,515
aleatorio,0,3000,1500,EG,35537
aleatorio,1,3000,1500,EG,35540
aleatorio,2,3000,1500,EG,36047
aleatorio,3,3000,1500,EG,35652
aleatorio,4,3000,1500,EG,35848
aleatorio,5,3000,1500,EG,36546
aleatorio,6,3000,1500,EG,35843
aleatorio,7,3000,1500,EG,37807
aleatorio,8,3000,1500,EG,36484
aleatorio,9,3000,1500,EG,35221
aleatorio,0,3000,2700,GS,638
aleatorio,1,3000,2700,GS,633
aleatorio,2,3000,2700,GS,637
aleatorio,3,3000,2700,GS,652
aleatorio,4,3000,2700,GS,664
aleatorio,5,3000,2700,GS,630
aleatorio,6,3000,2700,GS,646
aleatorio,7,3000,2700,GS,667
aleatorio,8,3000,2700,GS,638
aleatorio,9,3000,2700,GS,650
aleatorio,0,3000,2700,J,865
aleatorio,1,3000,2700,J,899
aleatorio,2,3000,2700,J,824
aleatorio,3,3000,2700,J,820
aleatorio,4,3000,2700,J,877
aleatorio,5,3000,2700,J,855
aleatorio,6,3000,2700,J,1184
aleatorio,7,3000,2700,J,842
aleatorio,8,3000,2700,J,828
aleatorio,9,3000,2700,J,840
aleatorio,0,3000,2700,EG,49171
aleatorio,1,3000,2700,EG,49078
aleatorio,2,3000,2700,EG,48951
aleatorio,3,3000,2700,EG,49036
aleatorio,4,3000,2700,EG,49336
aleatorio,5,3000,2700,EG,50981
aleatorio,6,3000,2700,EG,55901
aleatorio,7,3000,2700,EG,55649
aleatorio,8,3000,2700,EG,48848
aleatorio,9,3000,2700,EG,48403
aleatorio,0,3000,3000,GS,678
aleatorio,1,3000,3000,GS,682
aleatorio,2,3000,3000,GS,682
aleatorio,3,3000,3000,GS,786
aleatorio,4,3000,3000,GS,631
aleatorio,5,3000,3000,GS,633
aleatorio,6,3000,3000,GS,638
aleatorio,7,3000,3000,GS,684
aleatorio,8,3000,3000,GS,644
aleatorio,9,3000,3000,GS,672
aleatorio,0,3000,3000,J,865
aleatorio,1,3000,3000,J,997
aleatorio,2,3000,3000,J,915
aleatorio,3,3000,3000,J,874
aleatorio,4,3000,3000,J,868
aleatorio,5,3000,3000,J,868
aleatorio,6,3000,3000,J,1349
aleatorio,7,3000,3000,J,866
aleatorio,8,3000,3000,J,908
aleatorio,9,3000,3000,J,873
aleatorio,0,3000,3000,EG,53602
aleatorio,1,3000,3000,EG,51747
aleatorio,2,3000,3000,EG,52397
aleatorio,3,3000,3000,EG,54327
aleatorio,4,3000,3000,EG,53779
aleatorio,5,3000,3000,EG,52923
aleatorio,6,3000,3000,EG,57176
aleatorio,7,3000,3000,EG,64389
aleatorio,8,3000,3000,EG,54432
aleatorio,9,3000,3000,EG,53112
