,rep,tam,dens,tiempo
count,210.0,210.0,210.0,210.0
mean,4.5,3000.0,1225.7142857142858,7539.247619047619
std,2.879144609812179,0.0,1133.2367642773395,9338.984588494248
min,0.0,3000.0,30.0,720.0
25%,2.0,3000.0,150.0,1073.5
50%,4.5,3000.0,900.0,1466.0
75%,7.0,3000.0,2700.0,17104.75
max,9.0,3000.0,3000.0,44749.0
