,rep,tam,dens,tiempo
count,210.0,210.0,210.0,210.0
mean,4.5,1000.0,0.4085714285714284,2104.6714285714284
std,2.879144609812179,0.0,0.37774558809244696,3090.675987383404
min,0.0,1000.0,0.01,86.0
25%,2.0,1000.0,0.05,101.0
50%,4.5,1000.0,0.3,110.0
75%,7.0,1000.0,0.9,4550.25
max,9.0,1000.0,1.0,13554.0
