,rep,tam,dens,tiempo
count,210.0,210.0,210.0,210.0
mean,4.5,3000.0,1225.7142857142858,10815.504761904762
std,2.879144609812179,0.0,1133.2367642773395,17046.630877118878
min,0.0,3000.0,30.0,178.0
25%,2.0,3000.0,150.0,230.5
50%,4.5,3000.0,900.0,637.5
75%,7.0,3000.0,2700.0,17438.5
max,9.0,3000.0,3000.0,64389.0
