,rep,tam,dens,tiempo
count,210.0,210.0,210.0,210.0
mean,4.5,1000.0,0.4085714285714284,1768.0142857142857
std,2.879144609812179,0.0,0.37774558809244696,2403.0150010952325
min,0.0,1000.0,0.01,81.0
25%,2.0,1000.0,0.05,94.0
50%,4.5,1000.0,0.3,109.0
75%,7.0,1000.0,0.9,4543.75
max,9.0,1000.0,1.0,7746.0
