familia,rep,tam,dens,metodo,tiempo
uno_a_todos,8,1000,0.05,EG,4568
uno_a_todos,9,1000,0.05,EG,4474
uno_a_todos,0,1000,0.1,GS,232
uno_a_todos,1,1000,0.1,GS,112
uno_a_todos,2,1000,0.1,GS,93
uno_a_todos,3,1000,0.1,GS,103
uno_a_todos,4,1000,0.1,GS,93
uno_a_todos,5,1000,0.1,GS,95
uno_a_todos,6,1000,0.1,GS,96
uno_a_todos,7,1000,0.1,GS,114
uno_a_todos,8,1000,0.1,GS,122
uno_a_todos,9,1000,0.1,GS,109
uno_a_todos,0,1000,0.1,J,99
uno_a_todos,1,1000,0.1,J,81
uno_a_todos,2,1000,0.1,J,93
uno_a_todos,3,1000,0.1,J,115
uno_a_todos,4,1000,0.1,J,88
uno_a_todos,5,1000,0.1,J,120
uno_a_todos,6,1000,0.1,J,89
uno_a_todos,7,1000,0.1,J,91
uno_a_todos,8,1000,0.1,J,94
uno_a_todos,9,1000,0.1,J,122
uno_a_todos,0,1000,0.1,EG,4554
uno_a_todos,1,1000,0.1,EG,4672
uno_a_todos,2,1000,0.1,EG,4704
uno_a_todos,3,1000,0.1,EG,4705
uno_a_todos,4,1000,0.1,EG,4883
uno_a_todos,5,1000,0.1,EG,5368
uno_a_todos,6,1000,0.1,EG,5786
uno_a_todos,7,1000,0.1,EG,5446
uno_a_todos,8,1000,0.1,EG,4771
uno_a_todos,9,1000,0.1,EG,4655
uno_a_todos,0,1000,0.3,GS,99
uno_a_todos,1,1000,0.3,GS,101
uno_a_todos,2,1000,0.3,GS,105
uno_a_todos,3,1000,0.3,GS,104
uno_a_todos,4,1000,0.3,GS,124
uno_a_todos,5,1000,0.3,GS,129
uno_a_todos,6,1000,0.3,GS,128
uno_a_todos,7,1000,0.3,GS,105
uno_a_todos,8,1000,0.3,GS,91
uno_a_todos,9,1000,0.3,GS,141
uno_a_todos,0,1000,0.3,J,126
uno_a_todos,1,1000,0.3,J,98
uno_a_todos,2,1000,0.3,J,100
uno_a_todos,3,1000,0.3,J,121
uno_a_todos,4,1000,0.3,J,97
uno_a_todos,5,1000,0.3,J,94
uno_a_todos,6,1000,0.3,J,101
uno_a_todos,7,1000,0.3,J,121
uno_a_todos,8,1000,0.3,J,105
uno_a_todos,9,1000,0.3,J,96
uno_a_todos,0,1000,0.3,EG,5750
uno_a_todos,1,1000,0.3,EG,4882
uno_a_todos,2,1000,0.3,EG,5686
uno_a_todos,3,1000,0.3,EG,4445
uno_a_todos,4,1000,0.3,EG,5835
uno_a_todos,5,1000,0.3,EG,4879
uno_a_todos,6,1000,0.3,EG,5755
uno_a_todos,7,1000,0.3,EG,7391
uno_a_todos,8,1000,0.3,EG,4541
uno_a_todos,9,1000,0.3,EG,5932
uno_a_todos,0,1000,0.5,GS,97
uno_a_todos,1,1000,0.5,GS,95
uno_a_todos,2,1000,0.5,GS,98
uno_a_todos,3,1000,0.5,GS,131
uno_a_todos,4,1000,0.5,GS,104
uno_a_todos,5,1000,0.5,GS,94
uno_a_todos,6,1000,0.5,GS,101
uno_a_todos,7,1000,0.5,GS,100
uno_a_todos,8,1000,0.5,GS,100
uno_a_todos,9,1000,0.5,GS,101
uno_a_todos,0,1000,0.5,J,127
uno_a_todos,1,1000,0.5,J,119
uno_a_todos,2,1000,0.5,J,109
uno_a_todos,3,1000,0.5,J,122
uno_a_todos,4,1000,0.5,J,213
uno_a_todos,5,1000,0.5,J,99
uno_a_todos,6,1000,0.5,J,99
uno_a_todos,7,1000,0.5,J,130
uno_a_todos,8,1000,0.5,J,96
uno_a_todos,9,1000,0.5,J,93
uno_a_todos,0,1000,0.5,EG,6494
uno_a_todos,1,1000,0.5,EG,5263
uno_a_todos,2,1000,0.5,EG,6286
uno_a_todos,3,1000,0.5,EG,5435
uno_a_todos,4,1000,0.5,EG,7746
uno_a_todos,5,1000,0.5,EG,5123
uno_a_todos,6,1000,0.5,EG,6345
uno_a_todos,7,1000,0.5,EG,6177
uno_a_todos,8,1000,0.5,EG,5610
uno_a_todos,9,1000,0.5,EG,4973
uno_a_todos,0,1000,0.9,GS,103
uno_a_todos,1,1000,0.9,GS,94
uno_a_todos,2,1000,0.9,GS,93
uno_a_todos,3,1000,0.9,GS,90
uno_a_todos,4,1000,0.9,GS,92
uno_a_todos,5,1000,0.9,GS,96
uno_a_todos,6,1000,0.9,GS,94
uno_a_todos,7,1000,0.9,GS,151
uno_a_todos,8,1000,0.9,GS,89
uno_a_todos,9,1000,0.9,GS,89
uno_a_todos,0,1000,0.9,J,110
uno_a_todos,1,1000,0.9,J,98
uno_a_todos,2,1000,0.9,J,98
uno_a_todos,3,1000,0.9,J,86
uno_a_todos,4,1000,0.9,J,94
uno_a_todos,5,1000,0.9,J,122
uno_a_todos,6,1000,0.9,J,118
uno_a_todos,7,1000,0.9,J,95
uno_a_todos,8,1000,0.9,J,144
uno_a_todos,9,1000,0.9,J,90
uno_a_todos,0,1000,0.9,EG,5380
uno_a_todos,1,1000,0.9,EG,5223
uno_a_todos,2,1000,0.9,EG,5247
uno_a_todos,3,1000,0.9,EG,4600
uno_a_todos,4,1000,0.9,EG,6444
uno_a_todos,5,1000,0.9,EG,5086
uno_a_todos,6,1000,0.9,EG,5095
uno_a_todos,7,1000,0.9,EG,7694
uno_a_todos,8,1000,0.9,EG,5174
uno_a_todos,9,1000,0.9,EG,5561
uno_a_todos,0,1000,1,GS,86
uno_a_todos,1,1000,1,GS,85
uno_a_todos,2,1000,1,GS,91
uno_a_todos,3,1000,1,GS,89
uno_a_todos,4,1000,1,GS,84
uno_a_todos,5,1000,1,GS,89
uno_a_todos,6,1000,1,GS,84
uno_a_todos,7,1000,1,GS,89
uno_a_todos,8,1000,1,GS,86
uno_a_todos,9,1000,1,GS,88
